London - london 
Birmingham - birmingham 
Coventry - coventry 
Wolverhampton - 108243952533545 
Manchester - manchester 
Salford - 108090452545796 
Bolton - 107582152598459 
Bury - 103096213063630 
Oldham - 115798445101470 
Rochdale - 108023932551149 
Stockport - 113076558703683 
Ashton-under-Lyne - 108006779222373 
Altrincham - 104069739628562 
Wigan - 104010576301667 
Liverpool - liverpool 
St Helens - 112358372113333 
Birkenhead - 109950079028047 
Southport - 112824578731846 
Knowsley - 109006145793532 
Sheffield - sheffield 
Barnsley - 103126909727190 
Doncaster - 106010149430037 
Rotherham - 112991942045237 
Leeds - leeds 
Bradford - 106246092739961 
Wakefield - 112372102112762 
Huddersfield - 104072556295818 
Halifax - 112463968765395 
Newcastle upon Tyne - newcastleupontyne 
Sunderland - 112404765441676 
Gateshead - 103119296394478 
South Shields - 104061962962643 
Tynemouth - 104087339626846 
Bath - 103097293064397 
Brighton and Hove - 108695472488778 
Bristol - bristol 
Cambridge - 107847249250173 
Carlisle - 104053336298489 
Chester - 115477621800142 
Chichester - 115935195086622 
Durham - 112036342155298 
Exeter - 114701878545946 
Gloucester - 112087812151796 
Hereford - 108030965897318 
Kingston upon Hull - 113013485375759 
Lancaster - 112116145467159 
Leeds - leeds 
Leicester - 110212755674509 
Lichfield - 108233979198192 
Lincoln - 106093606088457 
Norwich - 108461749184998 
Nottingham - nottingham 
Oxford - 108023362564746 
Peterborough - 107923919229426 
Plymouth - 107666599263369 
Portsmouth - 111738872170406 
Preston - 106044699436531 
Ripon - 114825401866491 
Salisbury - 115310288482810 
Southampton - 108426499181164 
St Albans - 114703158546342 
Stoke-on-Trent - 111903198835475 
Sunderland - 112404765441676 
Truro - 110390172322905 
Wakefield - 112372102112762 
Wells - 107799489243118 
Winchester - 106070812766404 
Worcester - 110968245597636 
York - 108328065856235 
Edinburgh - edinburgh 
Glasgow - glasgow 
Aberdeen - 109478605737093 
Dundee - 109248112428236 
Inverness - 105553359479176 
Stirling - 105582772807896 
Perth - 502749833143582 
Ayr - 113214672025426 
Dumfries - 107974115889772 
Falkirk - 108385039185275 
Greenock - 113744028635772 
Hamilton - 113413478672255 
Kilmarnock - 107606765936059 
Kirkcaldy - 110612605625617 
Livingston - 111763742175241 
Paisley - 106108456094327 
Cardiff - 103145123058362 
Swansea - 110997062258309 
Newport - 112195725462212 
Bangor - 112305665453280 
Bridgend - 103952436308971 
Barry - 109495005735427 
Caerphilly - 109213452430744 
Carmarthen - 113572641986119 
Colwyn Bay - 108597495831413 
Llanelli - 109746249052260 
Neath - 110885438940535 
Rhyl - 112468342100859 
Wrexham - 105647356134958 
Belfast - belfast 
Londonderry - 112166695461708 
Antrim - 113476015333577 
Armagh - 105718279462647 
Ballymena - 107901065904533 
Bangor - 112305665453280 
Carrickfergus - 112260855452640 
Coleraine - 113193938693433 
Newry - 108418852516622 
Lisburn - 106086129422919 
Abingdon - 109414362418775 
Alnwick - 115249421819972 
Ashbourne - 106616949371624 
Aylesbury - 115831805093875 
Banbury - 112139312146369 
Bicester - 106503629385473 
Bury St Edmunds - 531934883514601 
Cheltenham - 110519355635992 
Chesterfield - 112819852065374 
Cirencester - 108148522552110 
Darlington - 106017922763477 
Dover - 112003908826570 
Eastbourne - 115532125128040 
Ely - 110014205683267 
Farnham - 108322399188757 
Guildford - 108339199186201 
Harrogate - 115071895174795 
Hastings - 110339788987693 
Kendal - 108468339173969 
Keswick - 112248968791291 
King's Lynn - 108561152509280 
Leamington Spa - 106299459409258 
Loughborough - 105446479490168 
Luton - 112123522136714 
Macclesfield - 113379755342157 
Maidenhead - 108223895865151 
Mansfield - 114558275227122 
Margate - 106075476098844 
Matlock - 112216755460794 
Middlesbrough - 109384075754743 
Morecambe - 112970398716844 
Newark-on-Trent - 107105195986708 
Newbury - 109336842419106 
Northallerton - 103138823060253 
Nuneaton - 106044539433646 
Penrith - 106103969420904 
Penzance - 111857572167033 
Reading - 115162068494946 
Redcar - 105581786142681 
Rugby - 105548172812498 
Scunthorpe - 112656948747033 
Shrewsbury - 106492536052720 
Skegness - 108240069198388 
Slough - 112413378770132 
Southend-on-Sea - 107950942566931 
Stevenage - 106118689420289 
Stratford-upon-Avon - 111716088855442 
Swindon - swindon 
Taunton - 114481921897649 
Torquay - 106006322765024 
Warrington - 215916278565212 
Weston-super-Mare - 109213595772556 
Weymouth - 108451039178633 
Wokingham - 113535295323680 
Worksop - 111854322160765 
Worthing - 111126958910952 
Yeovil - 110114372342955 
Elgin - 108457902511145 
Forfar - 102177366491045 
Fort William - 291871200938945 
Kirkwall - 107972512564724 
Oban - 106223582741855 
St Andrews - 108758579156273 
Thurso - 102167906490929 
Wick - 111941888826095 
Aberystwyth - 111974508818559 
Abergavenny - 107822885918502 
Holyhead - 113158678698330 
Llandudno - 108433665848462 
Merthyr Tydfil - 113037858710605 
Porthmadog - 108495789170715 
Prestatyn - 112329475446864 
Tenby - 114965478517900 
Ballycastle - 109432909080384 
Banbridge - 108032085891581 
Bushmills - 107662765930038 
Cookstown - 105634112804384 
Dungannon - 105623916138466 
Larne - 112973078717324 
Omagh - 109689539048910 
Strabane - 108291975859148 
